GeneA,GeneB,UniprotA,UniprotB,DataSource
PSD,RASGRP1,A5PKW4,O95267,IID
MAP1LC3B2,ATG16L1,A6NCE7,Q676U5,IID
RIMBP3C,FASLG,A6NJZ7,P48023,IID
ASB14,RASGRP1,A6NK59,O95267,IID
ZSWIM8,NOS2,A7E2V4,P35228,IID
ARHGAP32,TAGAP,A7KAX9,Q8N103,IID
"cDNA FLJ53296, highly similar to Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform",LACC1,,Q8IV20,IID
MICOS complex subunit MIC60,LACC1,,Q8IV20,IID
Sodium/potassium-transporting ATPase subunit alpha,LACC1,,Q8IV20,IID
-,RIPK2,,O43353,IID
-,IL6ST,,P40189,IID
AGPS,ATG16L1,O00116,Q676U5,IID
MYO1C,RIPK2,O00159,O43353,IID
HAX1,PTPN22,O00165,Q9Y2R2,IID
LGALS9,NAGLU,O00182,P54802,IID
LGALS9,LGALS8,O00182,O00214,IID
LGALS9,NCKAP1L,O00182,P55160,IID
LGALS9,SORBS3,O00182,O60504,IID
LGALS9,A2M,O00182,P01023,IID
LGALS9,SLC12A6,O00182,Q9UHW9,IID
LGALS9,CSPG4,O00182,Q6UVK1,IID
LGALS9,GHRHR,O00182,Q02643,IID
LGALS9,LAMA4,O00182,Q16363,IID
LGALS9,C1QB,O00182,P02746,IID
LGALS9,SYK,O00182,P43405,IID
LGALS9,MFAP3,O00182,P55082,IID
LGALS9,JUP,O00182,P14923,IID
LGALS9,MPZL1,O00182,O95297,IID
LGALS9,IKZF4,O00182,Q9H2S9,IID
LGALS9,SLC6A6,O00182,P31641,IID
LGALS9,PBK,O00182,Q96KB5,IID
LGALS9,C1QA,O00182,P02745,IID
LGALS9,CD276,O00182,Q5ZPR3,IID
LGALS9,PDIA6,O00182,Q15084,IID
LGALS9,MRC2,O00182,Q9UBG0,IID
LGALS9,LYN,O00182,P07948,IID
LGALS9,LGALSL,O00182,Q3ZCW2,IID
LGALS9,KIAA0319L,O00182,Q8IZA0,IID
LGALS9,CD74,O00182,P04233,IID
LGALS9,SLC29A1,O00182,Q99808,IID
LGALS9,RRAGC,O00182,Q9HB90,IID
LGALS9,SCUBE2,O00182,Q9NQ36,IID
LGALS9,HAVCR2,O00182,Q8TDQ0,IID
LGALS9,SLC1A5,O00182,Q15758,IID
LGALS9,HCLS1,O00182,P14317,IID
LGALS9,BTK,O00182,Q06187,IID
LGALS9,TNFRSF1A,O00182,P19438,IID
LGALS9,ALCAM,O00182,Q13740,IID
LGALS9,KIAA1549,O00182,Q9HCM3,IID
LGALS9,APOB,O00182,P04114,IID
LGALS9,PCDH9,O00182,Q9HC56,IID
LGALS9,TLR6,O00182,Q9Y2C9,IID
LGALS9,TNFSF10,O00182,P50591,IID
LGALS9,LAMC1,O00182,P11047,IID
LGALS9,USP39,O00182,Q53GS9,IID
LGALS9,VAV1,O00182,P15498,IID
LGALS9,FLNA,O00182,P21333,IID
LGALS9,SQSTM1,O00182,Q13501,IID
LGALS9,CD109,O00182,Q6YHK3,IID
LGALS9,TRIM16,O00182,O95361,IID
LGALS9,COLEC12,O00182,Q5KU26,IID
LGALS9,FN1,O00182,P02751,IID
LGALS9,TGFB1,O00182,P01137,IID
LGALS9,SLC12A7,O00182,Q9Y666,IID
LGALS9,ATRN,O00182,O75882,IID
LGALS9,TRIM38,O00182,O00635,IID
LGALS9,CD47,O00182,Q08722,IID
LGALS9,LGALS1,O00182,P09382,IID
LGALS9,CALR,O00182,P27797,IID
LGALS9,CANX,O00182,P27824,IID
LGALS9,LGALS9,O00182,O00182,IID
LGALS9,LRP1,O00182,Q07954,IID
LGALS9,ITIH4,O00182,Q14624,IID
LGALS9,F7,O00182,P08709,IID
LGALS9,BIRC2,O00182,Q13490,IID
LGALS9,ZER1,O00182,Q7Z7L7,IID
LGALS9,REL,O00182,Q04864,IID
LGALS9,RNF13,O00182,O43567,IID
LGALS9,SLC12A2,O00182,P55011,IID
LGALS9,PTGFRN,O00182,Q9P2B2,IID
LGALS9,LAMA1,O00182,P25391,IID
LGALS9,ECE1,O00182,P42892,IID
LGALS9,OSTM1,O00182,Q86WC4,IID
LGALS9,MMRN1,O00182,Q13201,IID
LGALS9,SORL1,O00182,Q92673,IID
LGALS9,MID1,O00182,O15344,IID
LGALS9,LAMB1,O00182,P07942,IID
LGALS9,TLR5,O00182,O60602,IID
LGALS9,CFLAR,O00182,O15519,IID
LGALS9,TGFBR1,O00182,P36897,IID
LGALS9,DOK3,O00182,Q7L591,IID
LGALS9,COL8A1,O00182,P27658,IID
LGALS9,MET,O00182,P08581,IID
LGALS9,NID1,O00182,P14543,IID
LGALS9,LGALS14,O00182,Q8TCE9,IID
LGALS9,IGSF3,O00182,O75054,IID
LGALS9,SUSD5,O00182,O60279,IID
LGALS9,THBS1,O00182,P07996,IID
LGALS9,RRAGB,O00182,Q5VZM2,IID
LGALS9,PTPRJ,O00182,Q12913,IID
LGALS9,LGALS2,O00182,P05162,IID
LGALS9,ACP2,O00182,P11117,IID
LGALS9,SLC12A4,O00182,Q9UP95,IID
LGALS9,CASP1,O00182,P29466,IID
LGALS9,LAMA3,O00182,Q16787,IID
LGALS9,NCR3LG1,O00182,Q68D85,IID
LGALS9,SLC4A7,O00182,Q9Y6M7,IID
LGALS9,LNPEP,O00182,Q9UIQ6,IID
LGALS9,SERPING1,O00182,P05155,IID
LGALS9,MAN2B1,O00182,O00754,IID
LGALS9,ATP7A,O00182,Q04656,IID
LGALS9,CTNNB1,O00182,P35222,IID
LGALS9,LGALS9C,O00182,Q6DKI2,IID
LGALS9,ATP2B4,O00182,P23634,IID
LGALS9,FBLN1,O00182,P23142,IID
LGALS9,ITGA4,O00182,P13612,IID
LGALS9,IL6R,O00182,P08887,IID
LGALS9,PTPN11,O00182,Q06124,IID
LGALS9,ITGB2,O00182,P05107,IID
LGALS9,NID2,O00182,Q14112,IID
LGALS9,FADD,O00182,Q13158,IID
LGALS9,CD63,O00182,P08962,IID
LGALS9,CD40,O00182,P25942,IID
LGALS9,TSPAN3,O00182,O60637,IID
LGALS9,SLC12A9,O00182,Q9BXP2,IID
LGALS9,ITGB1,O00182,P05556,IID
LGALS9,LGALS7;LGALS7B,O00182,,IID
LGALS9,CD44,O00182,P16070,IID
LGALS9,DCC,O00182,P43146,IID
LGALS9,CD7,O00182,P09564,IID
LGALS9,PTPRK,O00182,Q15262,IID
LGALS9,SLC9A6,O00182,Q92581,IID
LGALS9,ATP13A3,O00182,Q9H7F0,IID
LGALS9,LGALS3,O00182,P17931,IID
LGALS9,DAG1,O00182,Q14118,IID
LGALS9,LUM,O00182,P51884,IID
LGALS9,SLC9A3R2,O00182,Q15599,IID
LGALS9,LGALS12,O00182,Q96DT0,IID
LGALS9,P4HB,O00182,P07237,IID
LGALS9,SLC38A9,O00182,Q8NBW4,IID
LGALS9,CD58,O00182,P19256,IID
LGALS9,PDIA3,O00182,P30101,IID
LGALS9,ATP11C,O00182,Q8NB49,IID
LGALS9,ITGAL,O00182,P20701,IID
LGALS9,FLT1,O00182,P17948,IID
LGALS9,ENPP4,O00182,Q9Y6X5,IID
LGALS9,CLCN3,O00182,P51790,IID
LGALS9,ITGA5,O00182,P08648,IID
LGALS9,LAPTM5,O00182,Q13571,IID
LGALS9,CLC,O00182,Q05315,IID
LGALS9,CD3E,O00182,P07766,IID
LGALS9,C2CD5,O00182,Q86YS7,IID
LGALS9,PODXL,O00182,O00592,IID
LGALS9,VCAN,O00182,P13611,IID
LGALS9,APOE,O00182,P02649,IID
LGALS9,LGALS9B,O00182,Q3B8N2,IID
LGALS9,ATG9A,O00182,Q7Z3C6,IID
LGALS9,FYB1,O00182,O15117,IID
LGALS9,HAVCR1,O00182,Q96D42,IID
LGALS9,PLXNA1,O00182,Q9UIW2,IID
MASP2,NOD2,O00187,Q9HC29,IID
ARVCF,UCN,O00192,P55089,IID
TLR4,RIPK2,O00206,O43353,IID
TLR4,NOD2,O00206,Q9HC29,IID
APBB1,RASGRP1,O00213,O95267,IID
APBB1,FASLG,O00213,P48023,IID
TNFRSF10A,RIPK2,O00220,O43353,IID
TNFRSF10A,IFNAR1,O00220,P17181,IID
TNFRSF10A,FASLG,O00220,P48023,IID
TNFRSF10A,NOD2,O00220,Q9HC29,IID
NFKBIE,IFNAR1,O00221,P17181,IID
PSMD11,NOS2,O00231,P35228,IID
PSMD12,NOS2,O00232,P35228,IID
BMPR1B,ATG16L1,O00238,Q676U5,IID
ATOX1,GPX4,O00244,P36969,IID
CLIC1,IFNGR2,O00299,P38484,IID
CACNB4,FASLG,O00305,P48023,IID
PIK3CD,FASLG,O00329,P48023,IID
WASL,FASLG,O00401,P48023,IID
WASL,PTPN22,O00401,Q9Y2R2,IID
IGF2BP3,NOD2,O00425,Q9HC29,IID
PIK3R2,IL6ST,O00459,P40189,IID
PIK3R2,FASLG,O00459,P48023,IID
PIK3R2,PTPN22,O00459,Q9Y2R2,IID
GOLIM4,IL23R,O00461,Q5VWK5,IID
TRAF5,RIPK2,O00463,O43353,IID
TRAF5,IL6ST,O00463,P40189,IID
PSMD14,NOS2,O00487,P35228,IID
DDX3X,NOS2,O00571,P35228,IID
TRIM38,FASLG,O00635,P48023,IID
PPP6C,NOS2,O00743,P35228,IID
PIK3C2B,FASLG,O00750,P48023,IID
DLGAP1,FASLG,O14490,P48023,IID
SH2B2,RIPK2,O14492,O43353,IID
SH2B2,RASGRP1,O14492,O95267,IID
SH2B2,IFNGR2,O14492,P38484,IID
SH2B2,IL6ST,O14492,P40189,IID
SH2B2,PTPN22,O14492,Q9Y2R2,IID
SOCS2,RASGRP1,O14508,O95267,IID
SOCS7,RASGRP1,O14512,O95267,IID
PTPRT,FASLG,O14522,P48023,IID
PTPRT,PTPN22,O14522,Q9Y2R2,IID
SOCS3,RASGRP1,O14543,O95267,IID
SOCS3,IFNGR2,O14543,P38484,IID
SOCS3,IL6ST,O14543,P40189,IID
SOCS3,IL31RA,O14543,"Q8NI17
",IID
SOCS3,NOD2,O14543,Q9HC29,IID
SOCS6,RASGRP1,O14544,O95267,IID
SOCS6,IFNAR1,O14544,P17181,IID
NDUFAB1,GPX4,O14561,P36969,IID
-,RIPK2,,O43353,IID
DVL1,SPRED1,O14640,7Z699,IID
DVL2,RIPK2,O14641,O43353,IID
DVL2,ATG16L1,O14641,Q676U5,IID
DVL2,LACC1,O14641,Q8IV20,IID
DVL2,NOD2,O14641,Q9HC29,IID
GOSR2,IL23R,O14653,Q5VWK5,IID
APAF1,RIPK2,O14727,O43353,IID
APAF1,NOD2,O14727,Q9HC29,IID
IMPA2,GPX4,O14732,P36969,IID
MAP2K7,RIPK2,O14733,O43353,IID
MAP2K7,NOD2,O14733,Q9HC29,IID
CDIPT,NOS2,O14735,P35228,IID
SLC9A3R1,NOS2,O14745,P35228,IID
CHEK1,RIPK2,O14757,O43353,IID
TNFRSF10B,FASLG,O14763,P48023,IID
TNFRSF10B,SPRED1,O14763,7Z699,IID
TNFSF11,IL6ST,O14788,P40189,IID
TNFSF11,FASLG,O14788,P48023,IID
TNFSF11,IL31RA,O14788,"Q8NI17
",IID
TNFSF11,TNFSF18,O14788,Q9UNG2,IID
APOL1,NOD2,O14791,Q9HC29,IID
MSTN,IL6ST,O14793,P40189,IID
MRAS,RASGRP1,O14807,O95267,IID
PSMA7,RIPK2,O14818,O43353,IID
PSMA7,NOS2,O14818,P35228,IID
PSMA7,ATG16L1,O14818,Q676U5,IID
RASGRF2,RASGRP1,O14827,O95267,IID
SCAMP3,GPX4,O14828,P36969,IID
TNFRSF13B,FASLG,O14836,P48023,IID
TNFRSF13B,IL31RA,O14836,"Q8NI17
",IID
AIM2,RIPK2,O14862,O43353,IID
AIM2,NOD2,O14862,Q9HC29,IID
BACH1,CREB5,O14867,Q02930,IID
LIN7A,ATG16L1,O14910,Q676U5,IID
IKBKB,RIPK2,O14920,O43353,IID
IKBKB,IFNAR1,O14920,P17181,IID
IKBKB,NOD2,O14920,Q9HC29,IID
HAT1,LACC1,O14929,Q8IV20,IID
NCR3,RIPK2,O14931,O43353,IID
NCR3,IL6ST,O14931,P40189,IID
NCR3,NOD2,O14931,Q9HC29,IID
PLD2,FASLG,O14939,P48023,IID
EREG,FASLG,O14944,P48023,IID
EREG,NOD2,O14944,Q9HC29,IID
HGS,IL6ST,O14964,P40189,IID
GAK,IFNAR1,O14976,P17181,IID
XPO1,ATG16L1,O14980,Q676U5,IID
U2SURP,CPEB4,O15042,Q17RY0,IID
SYNJ2,NOS2,O15056,P35228,IID
SYNJ2,FASLG,O15056,P48023,IID
SYNJ2,PTPN22,O15056,Q9Y2R2,IID
ARHGEF11,RASGRP1,O15085,O95267,IID
ARHGEF11,FASLG,O15085,P48023,IID
SMAD7,IL6ST,O15105,P40189,IID
SMAD7,JAZF1,O15105,86VZ6,IID
CHUK,RIPK2,O15111,O43353,IID
CHUK,IFNAR1,O15111,P17181,IID
CHUK,NOD2,O15111,Q9HC29,IID
FYB1,FASLG,O15117,P48023,IID
MUSK,ADAM30,O15146,Q9UKF2,IID
TRIM24,ATG16L1,O15164,Q676U5,IID
TRIM24,NOD2,O15164,Q9HC29,IID
AXIN1,RIPK2,O15169,O43353,IID
AXIN1,SPRED1,O15169,7Z699,IID
AXIN1,NOD2,O15169,Q9HC29,IID
EPHB6,IL6ST,O15197,P40189,IID
ADAMDEC1,ADAM30,O15204,Q9UKF2,IID
MAPK13,GPX4,O15264,P36969,IID
MAPK13,CREB5,O15264,Q02930,IID
POLR3G,NOD2,O15318,Q9HC29,IID
MID1,RIPK2,O15344,O43353,IID
MID1,IL6ST,O15344,P40189,IID
MID1,NOD2,O15344,Q9HC29,IID
TP73,IFNAR1,O15350,P17181,IID
TP73,IL6ST,O15350,P40189,IID
TP73,FASLG,O15350,P48023,IID
TP73,SPRED1,O15350,7Z699,IID
TP73,NOD2,O15350,Q9HC29,IID
INPPL1,SPRED1,O15357,7Z699,IID
INPPL1,PTPN22,O15357,Q9Y2R2,IID
HDAC3,JAZF1,O15379,86VZ6,IID
BIRC5,RIPK2,O15392,O43353,IID
BIRC5,GPX4,O15392,P36969,IID
TLR3,RIPK2,O15455,O43353,IID
TLR3,IFNAR1,O15455,P17181,IID
TLR3,FASLG,O15455,P48023,IID
TLR3,NOD2,O15455,Q9HC29,IID
RGS16,FASLG,O15492,P48023,IID
PLA2G10,IL31RA,O15496,"Q8NI17
",IID
CFLAR,RIPK2,O15519,O43353,IID
CFLAR,IFNAR1,O15519,P17181,IID
CFLAR,FASLG,O15519,P48023,IID
CFLAR,NOD2,O15519,Q9HC29,IID
SOCS1,RASGRP1,O15524,O95267,IID
SOCS1,IFNAR1,O15524,P17181,IID
SOCS1,IFNGR2,O15524,P38484,IID
SOCS1,IL6ST,O15524,P40189,IID
SOCS1,FASLG,O15524,P48023,IID
SOCS1,IL31RA,O15524,"Q8NI17
",IID
PDPK1,RIPK2,O15530,O43353,IID
PDPK1,PTPN22,O15530,Q9Y2R2,IID
MEFV,RIPK2,O15553,O43353,IID
MEFV,FASLG,O15553,P48023,IID
MEFV,ATG16L1,O15553,Q676U5,IID
MEFV,NOD2,O15553,Q9HC29,IID
KCNN4,NOD2,O15554,Q9HC29,IID
ASAP2,FASLG,O43150,P48023,IID
ASAP2,SPRED1,O43150,7Z699,IID
CYP26A1,NOS2,O43174,P35228,IID
PHGDH,PTPN22,O43175,Q9Y2R2,IID
ADAM12,ADAM30,O43184,Q9UKF2,IID
IRAK2,RIPK2,O43187,O43353,IID
IRAK2,NOD2,O43187,Q9HC29,IID
PSMD3,NOS2,O43242,P35228,IID
MAP3K13,RIPK2,O43283,O43353,IID
TGFB1I1,SPRED1,O43294,7Z699,IID
SRGAP3,FASLG,O43295,P48023,IID
SEC14L5,FASLG,O43304,P48023,IID
ARHGEF9,RASGRP1,O43307,O95267,IID
MAP3K7,RIPK2,O43318,O43353,IID
MAP3K7,IFNAR1,O43318,P17181,IID
MAP3K7,JAZF1,O43318,86VZ6,IID
MAP3K7,NOD2,O43318,Q9HC29,IID
RIPK2,CASP8,O43353,Q14790,IID
RIPK2,RPS14,O43353,P62263,IID
RIPK2,B2M,O43353,P61769,IID
RIPK2,UBE2D1,O43353,P51668,IID
RIPK2,CAPZA1,O43353,P52907,IID
RIPK2,CD4,O43353,P01730,IID
RIPK2,RTN4R,O43353,Q9BZR6,IID
RIPK2,CRADD,O43353,P78560,IID
RIPK2,ITSN1,O43353,Q15811,IID
RIPK2,GSPT1,O43353,P15170,IID
RIPK2,BCAR1,O43353,P56945,IID
RIPK2,DNAJA1,O43353,P31689,IID
RIPK2,BRAF,O43353,P15056,IID
RIPK2,FLT3,O43353,P36888,IID
RIPK2,CHD7,O43353,Q9P2D1,IID
RIPK2,REL,O43353,Q04864,IID
RIPK2,KLRK1,O43353,P26718,IID
RIPK2,ITGAL,O43353,P20701,IID
RIPK2,S100A14,O43353,Q9HCY8,IID
RIPK2,CNKSR3,O43353,Q6P9H4,IID
RIPK2,UBE2N,O43353,P61088,IID
RIPK2,ILK,O43353,Q13418,IID
RIPK2,PPP1CC,O43353,P36873,IID
RIPK2,PYCARD,O43353,Q9ULZ3,IID
RIPK2,TSSK4,O43353,Q6SA08,IID
RIPK2,BMPR1A,O43353,P36894,IID
RIPK2,TUBA8,O43353,Q9NY65,IID
RIPK2,CAMP,O43353,P49913,IID
RIPK2,NLRC4,O43353,Q9NPP4,IID
RIPK2,TRAF3IP2,O43353,O43734,IID
RIPK2,BEX3,O43353,Q00994,IID
RIPK2,WDR5,O43353,P61964,IID
RIPK2,TICAM1,O43353,Q8IUC6,IID
RIPK2,CRYAB,O43353,P02511,IID
RIPK2,HSF1,O43353,Q00613,IID
RIPK2,BID,O43353,P55957,IID
RIPK2,IL15,O43353,P40933,IID
RIPK2,NLRP12,O43353,P59046,IID
RIPK2,TNFRSF8,O43353,P28908,IID
RIPK2,TUBB,O43353,P07437,IID
RIPK2,CASP1,O43353,P29466,IID
RIPK2,MAP4K5,O43353,Q9Y4K4,IID
RIPK2,BIRC3,O43353,Q13489,IID
RIPK2,CBLB,O43353,Q13191,IID
RIPK2,CDC37,O43353,Q16543,IID
RIPK2,NGFR,O43353,P08138,IID
RIPK2,NLRP1,O43353,Q9C000,IID
RIPK2,PRMT2,O43353,P55345,IID
RIPK2,CARD16,O43353,Q5EG05,IID
RIPK2,FABP5,O43353,Q01469,IID
RIPK2,MAP4K1,O43353,Q92918,IID
RIPK2,MAGED1,O43353,Q9Y5V3,IID
RIPK2,CASP4,O43353,P49662,IID
RIPK2,ATM,O43353,Q13315,IID
RIPK2,HEY2,O43353,Q9UBP5,IID
RIPK2,KIR2DL1,O43353,P43626,IID
RIPK2,IL4,O43353,P05112,IID
RIPK2,CFTR,O43353,P13569,IID
RIPK2,TAOK2,O43353,Q9UL54,IID
RIPK2,PDGFRA,O43353,P16234,IID
RIPK2,IKBKE,O43353,Q14164,IID
RIPK2,DNAJB1,O43353,P25685,IID
RIPK2,PRKACB,O43353,P22694,IID
RIPK2,TUBB6,O43353,Q9BUF5,IID
RIPK2,TRAF3,O43353,Q13114,IID
RIPK2,STAT5A,O43353,P42229,IID
RIPK2,KCTD12,O43353,Q96CX2,IID
RIPK2,MAP3K8,O43353,P41279,IID
RIPK2,MAP3K14,O43353,Q99558,IID
RIPK2,EDA2R,O43353,Q9HAV5,IID
RIPK2,CAMK2D,O43353,Q13557,IID
RIPK2,WNK1,O43353,Q9H4A3,IID
RIPK2,VCAM1,O43353,P19320,IID
RIPK2,TUBA4A,O43353,P68366,IID
RIPK2,CASP6,O43353,P55212,IID
RIPK2,TIRAP,O43353,P58753,IID
RIPK2,NLRP2,O43353,Q9NX02,IID
RIPK2,CD274,O43353,Q9NZQ7,IID
RIPK2,TUBB2B,O43353,Q9BVA1,IID
RIPK2,ACHE,O43353,P22303,IID
RIPK2,NOD1,O43353,Q9Y239,IID
RIPK2,C3,O43353,P01024,IID
RIPK2,MAVS,O43353,Q7Z434,IID
RIPK2,DDX5,O43353,P17844,IID
RIPK2,OTUD7B,O43353,Q6GQQ9,IID
RIPK2,TPD52L1,O43353,Q16890,IID
RIPK2,EPB41,O43353,P11171,IID
RIPK2,TRIM37,O43353,O94972,IID
RIPK2,GSN,O43353,P06396,IID
RIPK2,INS,O43353,P01308,IID
RIPK2,CD74,O43353,P04233,IID
RIPK2,TLR2,O43353,O60603,IID
RIPK2,KIT,O43353,P10721,IID
RIPK2,FBXO4,O43353,Q9UKT5,IID
RIPK2,CSNK2A1,O43353,P68400,IID
RIPK2,CAMKK2,O43353,Q96RR4,IID
RIPK2,CASP14,O43353,P31944,IID
RIPK2,NOL3,O43353,O60936,IID
RIPK2,CD3E,O43353,P07766,IID
RIPK2,AKT2,O43353,P31751,IID
RIPK2,PSMC3,O43353,P17980,IID
RIPK2,NFATC2,O43353,Q13469,IID
RIPK2,MYO1D,O43353,O94832,IID
RIPK2,IRAK4,O43353,Q9NWZ3,IID
RIPK2,RIPK1,O43353,Q13546,IID
RIPK2,TEK,O43353,Q02763,IID
RIPK2,HLX,O43353,Q14774,IID
RIPK2,MAP3K2,O43353,Q9Y2U5,IID
RIPK2,TNFAIP3,O43353,P21580,IID
RIPK2,IL2,O43353,P60568,IID
RIPK2,HADHB,O43353,P55084,IID
RIPK2,NMI,O43353,Q13287,IID
RIPK2,BCL2,O43353,P10415,IID
RIPK2,NFKBID,O43353,Q8NI38,IID
RIPK2,PPM1B,O43353,O75688,IID
RIPK2,PCMT1,O43353,P22061,IID
RIPK2,DPEP1,O43353,P16444,IID
RIPK2,CIDEA,O43353,O60543,IID
RIPK2,NOTCH2,O43353,Q04721,IID
RIPK2,ZMYND11,O43353,Q15326,IID
RIPK2,APP,O43353,P05067,IID
RIPK2,HSPD1,O43353,P10809,IID
RIPK2,TUBA1A,O43353,Q71U36,IID
RIPK2,CADM1,O43353,Q9BY67,IID
RIPK2,ARHGEF6,O43353,Q15052,IID
RIPK2,IFNK,O43353,Q9P0W0,IID
RIPK2,CASP9,O43353,P55211,IID
RIPK2,CD276,O43353,Q5ZPR3,IID
RIPK2,HSPBP1,O43353,Q9NZL4,IID
RIPK2,PELI2,O43353,Q9HAT8,IID
RIPK2,NAT16,O43353,Q8N8M0,IID
RIPK2,ACVR2B,O43353,Q13705,IID
RIPK2,CRTAM,O43353,O95727,IID
RIPK2,CASP3,O43353,P42574,IID
RIPK2,GABARAPL1,O43353,Q9H0R8,IID
RIPK2,S100A7,O43353,P31151,IID
RIPK2,MOG,O43353,Q16653,IID
RIPK2,CCND1,O43353,P24385,IID
RIPK2,HSP70-1,O43353,,IID
RIPK2,SOD2,O43353,P04179,IID
RIPK2,TAOK3,O43353,Q9H2K8,IID
RIPK2,YWHAZ,O43353,P63104,IID
RIPK2,TAB3,O43353,Q8N5C8,IID
RIPK2,CD2,O43353,P06729,IID
RIPK2,RPL38,O43353,P63173,IID
RIPK2,IRF4,O43353,Q15306,IID
RIPK2,TNFRSF18,O43353,Q9Y5U5,IID
RIPK2,UBE2J1,O43353,Q9Y385,IID
RIPK2,NFKB1,O43353,P19838,IID
RIPK2,AGT,O43353,P01019,IID
RIPK2,CARD18,O43353,P57730,IID
RIPK2,GRB2,O43353,P62993,IID
RIPK2,EGFR,O43353,P00533,IID
RIPK2,S100A12,O43353,P80511,IID
RIPK2,SYK,O43353,P43405,IID
RIPK2,IRF7,O43353,Q92985,IID
RIPK2,SUGT1,O43353,Q9Y2Z0,IID
RIPK2,SRC,O43353,P12931,IID
RIPK2,YWHAG,O43353,P61981,IID
RIPK2,CAMK2A,O43353,Q9UQM7,IID
RIPK2,RPS27L,O43353,Q71UM5,IID
RIPK2,MAP3K9,O43353,P80192,IID
RIPK2,LTC4S,O43353,Q16873,IID
RIPK2,IARS,O43353,P41252,IID
RIPK2,HSPA2,O43353,P54652,IID
RIPK2,EP300,O43353,Q09472,IID
RIPK2,NCL,O43353,P19338,IID
RIPK2,PSMB5,O43353,P28074,IID
RIPK2,PAK2,O43353,Q13177,IID
RIPK2,IKZF1,O43353,Q13422,IID
RIPK2,HSPA5,O43353,P11021,IID
RIPK2,MAP4K4,O43353,O95819,IID
RIPK2,EPHA3,O43353,P29320,IID
RIPK2,AIFM1,O43353,O95831,IID
RIPK2,ACAP1,O43353,Q15027,IID
RIPK2,IRAK1BP1,O43353,Q5VVH5,IID
RIPK2,NOS3,O43353,P29474,IID
RIPK2,LIMK1,O43353,P53667,IID
RIPK2,BCL2L13,O43353,Q9BXK5,IID
RIPK2,ENO1,O43353,P06733,IID
RIPK2,BAG1,O43353,Q99933,IID
RIPK2,SLC25A6,O43353,P12236,IID
RIPK2,TRAF4,O43353,Q9BUZ4,IID
RIPK2,MYO6,O43353,Q9UM54,IID
RIPK2,CTNNB1,O43353,P35222,IID
RIPK2,PELI3,O43353,Q8N2H9,IID
RIPK2,GIMAP5,O43353,Q96F15,IID
RIPK2,GXYLT1,O43353,Q4G148,IID
RIPK2,BLM,O43353,P54132,IID
RIPK2,UBE2D2,O43353,P62837,IID
RIPK2,CARD8,O43353,Q9Y2G2,IID
RIPK2,PSME2,O43353,Q9UL46,IID
RIPK2,USO1,O43353,O60763,IID
RIPK2,PAK1,O43353,Q13153,IID
RIPK2,TNFRSF11A,O43353,Q9Y6Q6,IID
RIPK2,TUBA3C;TUBA3D,O43353,,IID
RIPK2,GTF2A2,O43353,P52657,IID
RIPK2,CARD10,O43353,Q9BWT7,IID
RIPK2,RPS3A,O43353,P61247,IID
RIPK2,MAP3K20,O43353,Q9NYL2,IID
RIPK2,MINK1,O43353,Q8N4C8,IID
RIPK2,MAP4K3,O43353,Q8IVH8,IID
RIPK2,IGF1R,O43353,P08069,IID
RIPK2,CSNK2A2,O43353,P19784,IID
RIPK2,CD83,O43353,Q01151,IID
RIPK2,BCL11B,O43353,Q9C0K0,IID
RIPK2,PTPRC,O43353,P08575,IID
RIPK2,CD80,O43353,P33681,IID
RIPK2,ALB,O43353,P02768,IID
RIPK2,TAB2,O43353,Q9NYJ8,IID
RIPK2,STUB1,O43353,Q9UNE7,IID
RIPK2,CASP5,O43353,P51878,IID
RIPK2,RET,O43353,P07949,IID
RIPK2,CD38,O43353,P28907,IID
RIPK2,FADD,O43353,Q13158,IID
RIPK2,TGFBR2,O43353,P37173,IID
RIPK2,RNF216,O43353,Q9NWF9,IID
RIPK2,-,O43353,,IID
RIPK2,HSPA4,O43353,P34932,IID
RIPK2,NCOA3,O43353,Q9Y6Q9,IID
RIPK2,CASP7,O43353,P55210,IID
RIPK2,TAB1,O43353,Q15750,IID
RIPK2,LRRK2,O43353,Q5S007,IID
RIPK2,RELA,O43353,Q04206,IID
RIPK2,PSMA6,O43353,P60900,IID
RIPK2,JAK1,O43353,P23458,IID
RIPK2,VIM,O43353,P08670,IID
RIPK2,HSP90B1,O43353,P14625,IID
RIPK2,PGK1,O43353,P00558,IID
RIPK2,MALT1,O43353,Q9UDY8,IID
RIPK2,IL18,O43353,Q14116,IID
RIPK2,EIF2AK2,O43353,P19525,IID
RIPK2,MAP3K1,O43353,Q13233,IID
RIPK2,IRAK3,O43353,Q9Y616,IID
RIPK2,SMAD1,O43353,Q15797,IID
RIPK2,PRKACA,O43353,P17612,IID
RIPK2,MAP2K5,O43353,Q13163,IID
RIPK2,CASP2,O43353,P42575,IID
RIPK2,NKX2-3,O43353,Q8TAU0,IID
RIPK2,FGFR4,O43353,P22455,IID
RIPK2,PHB2,O43353,Q99623,IID
RIPK2,HSPA6,O43353,P17066,IID
RIPK2,TUBA1C,O43353,Q9BQE3,IID
RIPK2,SMC2,O43353,O95347,IID
RIPK2,MYH9,O43353,P35579,IID
RIPK2,AIF1,O43353,P55008,IID
RIPK2,MYH10,O43353,P35580,IID
